"","Accuracy.Accuracy","Precision.Pos Pred Value","Recall.Sensitivity","F1.Pos Pred Value","AUC"
"Gradient Boosting",0.803899082568807,0.780320366132723,0.819711538461538,0.799531066822978,0.863721427968961
"AdaBoost",0.794724770642202,0.766292134831461,0.819711538461538,0.792102206736353,0.855002214068826
"Random Forest",0.786697247706422,0.747844827586207,0.834134615384615,0.788636363636364,0.840012440958165
"Neural Network",0.760321100917431,0.731543624161074,0.786057692307692,0.757821552723059,0.809903740721997
"SVM",0.754587155963303,0.722466960352423,0.788461538461538,0.754022988505747,0.822255081815114
"Decision Tree",0.744266055045872,0.709327548806941,0.786057692307692,0.745724059293044,0.7549816548583
"Naive Bayes",0.716743119266055,0.640132669983416,0.927884615384615,0.757605495583906,0.820209703947368
"Logistic Regression",0.706422018348624,0.661943319838057,0.786057692307692,0.718681318681319,0.734351277834008
"KNN",0.702981651376147,0.653021442495127,0.805288461538462,0.721205597416577,0.760039747807018
