"","Accuracy.Accuracy","Precision.Pos Pred Value","Recall.Sensitivity","F1.Pos Pred Value","AUC"
"Random Forest",0.779690189328744,0.738019169329073,0.833935018050541,0.783050847457627,0.837165114953449
"AdaBoost",0.774526678141136,0.755244755244755,0.779783393501805,0.767317939609236,0.839920197605928
"Gradient Boosting",0.767641996557659,0.743150684931507,0.783393501805054,0.76274165202109,0.840074577237316
"Decision Tree",0.74526678141136,0.714285714285714,0.776173285198556,0.743944636678201,0.754512635379061
"SVM",0.743545611015491,0.714765100671141,0.768953068592058,0.740869565217391,0.82232091962759
"Naive Bayes",0.721170395869191,0.664756446991404,0.837545126353791,0.741214057507987,0.798035816074484
"Neural Network",0.721170395869191,0.693602693602694,0.743682310469314,0.717770034843206,0.77035436063082
"Logistic Regression",0.697074010327022,0.657320872274143,0.76173285198556,0.705685618729097,0.721083507505226
"KNN",0.672977624784854,0.666666666666667,0.628158844765343,0.646840148698885,0.725358635759073
