"","Accuracy.Accuracy","Precision.Pos Pred Value","Recall.Sensitivity","F1.Pos Pred Value","AUC"
"Gradient Boosting",0.795871559633027,0.77803738317757,0.800480769230769,0.789099526066351,0.871399502361671
"AdaBoost",0.785550458715596,0.758465011286682,0.807692307692308,0.782305005820722,0.86714796305668
"Random Forest",0.783256880733945,0.740976645435244,0.838942307692308,0.786922209695603,0.85696324645749
"Neural Network",0.748853211009174,0.723356009070295,0.766826923076923,0.744457409568261,0.816063596491227
"Decision Tree",0.744266055045872,0.709327548806941,0.786057692307692,0.745724059293044,0.7549816548583
"SVM",0.738532110091743,0.709821428571428,0.764423076923077,0.736111111111111,0.827039051956815
"Naive Bayes",0.716743119266055,0.665362035225049,0.817307692307692,0.733549083063646,0.799964153171389
"Logistic Regression",0.707568807339449,0.665297741273101,0.778846153846154,0.717607973421927,0.742630313765182
"KNN",0.667431192660551,0.6640625,0.612980769230769,0.6375,0.733544724190283
