"","Accuracy.Accuracy","Precision.Pos Pred Value","Recall.Sensitivity","F1.Pos Pred Value","AUC"
"Gradient Boosting",0.798165137614679,0.78169014084507,0.800480769230769,0.790973871733967,0.864464722503374
"AdaBoost",0.797018348623853,0.786570743405276,0.788461538461538,0.787515006002401,0.860806237348179
"Random Forest",0.787844036697248,0.750542299349241,0.831730769230769,0.789053591790194,0.838473135964912
"SVM",0.751146788990826,0.71677559912854,0.790865384615385,0.752,0.811928032219973
"Decision Tree",0.744266055045872,0.709327548806941,0.786057692307692,0.745724059293044,0.7549816548583
"Neural Network",0.738532110091743,0.7,0.790865384615385,0.742663656884876,0.795765329790823
"Naive Bayes",0.727064220183486,0.679435483870968,0.810096153846154,0.739035087719298,0.797784349696356
"Logistic Regression",0.706422018348624,0.661943319838057,0.786057692307692,0.718681318681319,0.733412934379217
"KNN",0.682339449541284,0.63600782778865,0.78125,0.701186623516721,0.738183725539811
