"","Accuracy.Accuracy","Precision.Pos Pred Value","Recall.Sensitivity","F1.Pos Pred Value","AUC"
"AdaBoost",0.796423658872077,0.778711484593838,0.801152737752161,0.789772727272727,0.857962991051115
"Gradient Boosting",0.793672627235213,0.772853185595568,0.804034582132565,0.788135593220339,0.856336265736386
"Random Forest",0.790921595598349,0.749360613810742,0.844380403458213,0.794037940379404,0.843815410283634
"SVM",0.751031636863824,0.715025906735751,0.795389048991354,0.753069577080491,0.816631275595328
"Neural Network",0.746905089408528,0.711688311688312,0.789625360230548,0.748633879781421,0.796177764295465
"Decision Tree",0.741403026134801,0.703324808184143,0.792507204610951,0.745257452574526,0.752813590171394
"Naive Bayes",0.731774415405777,0.677570093457944,0.835734870317003,0.748387096774194,0.794516911876232
"Logistic Regression",0.709766162310867,0.66504854368932,0.789625360230548,0.722002635046113,0.727953890489913
"KNN",0.682255845942228,0.672619047619048,0.651296829971182,0.661786237188873,0.731264219626877
