"","Accuracy.Accuracy","Precision.Pos Pred Value","Recall.Sensitivity","F1.Pos Pred Value","AUC"
"AdaBoost",0.800550206327373,0.785310734463277,0.801152737752161,0.793152639087018,0.857659639011072
"Gradient Boosting",0.796423658872077,0.781869688385269,0.795389048991354,0.788571428571429,0.854686789018656
"Random Forest",0.785419532324622,0.746770025839793,0.832853025936599,0.787465940054496,0.834965114515395
"SVM",0.75515818431912,0.720626631853786,0.795389048991354,0.756164383561644,0.808471105718186
"Decision Tree",0.741403026134801,0.703324808184143,0.792507204610951,0.745257452574526,0.752813590171394
"Naive Bayes",0.738651994497937,0.681293302540416,0.85014409221902,0.756410256410256,0.79736083725163
"Neural Network",0.729023383768913,0.688442211055276,0.789625360230548,0.735570469798658,0.782519338692552
"Logistic Regression",0.709766162310867,0.664251207729469,0.792507204610951,0.722733245729304,0.730532382830275
"KNN",0.676753782668501,0.630232558139535,0.780979827089337,0.697554697554698,0.729906719247687
