Model,Accuracy,Precision,Recall,F1-score
AdaBoost,0.786941581,0.794143072,0.786941581,0.787531505
Extra Trees,0.776632302,0.783811874,0.776632302,0.777250771
Gradient Boosting,0.768041237,0.779057725,0.768041237,0.768524343
Random Forest,0.756013746,0.768900344,0.756013746,0.756388417
Support Vector Machine,0.725085911,0.74264,0.725085911,0.724982022
Decision Tree,0.702749141,0.704926697,0.702749141,0.703371882
Logistic Regression,0.695876289,0.713996497,0.695876289,0.695575486
Naive Bayes,0.692439863,0.711350651,0.692439863,0.692001237
K-Nearest Neighbors,0.675257732,0.674338061,0.675257732,0.674635853
