"","Accuracy.Accuracy","Precision.Pos Pred Value","Recall.Sensitivity","F1.Pos Pred Value","AUC"
"Gradient Boosting",0.795180722891566,0.733727810650888,0.895306859205776,0.80650406504065,0.871271138134144
"AdaBoost",0.791738382099828,0.751612903225806,0.84115523465704,0.793867120954003,0.867542276268288
"Random Forest",0.776247848537005,0.716814159292035,0.877256317689531,0.788961038961039,0.850091440243207
"Decision Tree",0.757314974182444,0.708588957055215,0.833935018050541,0.766169154228856,0.768578994869846
"Neural Network",0.74526678141136,0.693693693693694,0.833935018050541,0.757377049180328,0.78399914497435
"SVM",0.743545611015491,0.691616766467066,0.833935018050541,0.756137479541735,0.824529735892077
"Naive Bayes",0.719449225473322,0.636363636363636,0.96028880866426,0.765467625899281,0.813509405282158
"Logistic Regression",0.716006884681583,0.66,0.833935018050541,0.736842105263158,0.783571632148965
"KNN",0.636833046471601,0.639830508474576,0.545126353790614,0.58869395711501,0.689186300589018
