"","Accuracy.Accuracy","Precision.Pos Pred Value","Recall.Sensitivity","F1.Pos Pred Value","AUC"
"Gradient Boosting",0.791284403669725,0.762331838565022,0.817307692307692,0.788863109048724,0.865471596659919
"AdaBoost",0.788990825688073,0.767281105990783,0.800480769230769,0.783529411764706,0.866684062921728
"Random Forest",0.777522935779816,0.735169491525424,0.834134615384615,0.781531531531532,0.851090692476383
"Decision Tree",0.744266055045872,0.709327548806941,0.786057692307692,0.745724059293044,0.7549816548583
"SVM",0.735091743119266,0.703296703296703,0.769230769230769,0.734787600459242,0.81421326754386
"Neural Network",0.724770642201835,0.683333333333333,0.788461538461538,0.732142857142857,0.770759531039136
"Logistic Regression",0.711009174311927,0.669421487603306,0.778846153846154,0.72,0.742018809041836
"Naive Bayes",0.701834862385321,0.62540192926045,0.935096153846154,0.749518304431599,0.813380355937922
"KNN",0.598623853211009,0.587301587301587,0.533653846153846,0.55919395465995,0.658709197874494
