"","Accuracy.Accuracy","Precision.Pos Pred Value","Recall.Sensitivity","F1.Pos Pred Value","AUC"
"Gradient Boosting",0.796901893287435,0.740181268882175,0.884476534296029,0.805921052631579,0.875564079422382
"AdaBoost",0.790017211703959,0.74294670846395,0.855595667870036,0.795302013422819,0.867209766292989
"Random Forest",0.769363166953528,0.710914454277286,0.870036101083033,0.782467532467532,0.84874952498575
"Decision Tree",0.757314974182444,0.708588957055215,0.833935018050541,0.766169154228856,0.768578994869846
"SVM",0.743545611015491,0.697530864197531,0.815884476534296,0.752079866888519,0.828246722401672
"Neural Network",0.733218588640275,0.687116564417178,0.808664259927798,0.742951907131012,0.797180790423712
"Logistic Regression",0.719449225473322,0.663793103448276,0.833935018050541,0.7392,0.783203496104883
"Naive Bayes",0.703958691910499,0.624113475177305,0.953068592057762,0.754285714285714,0.814708816264489
"KNN",0.631669535283993,0.625498007968127,0.566787003610108,0.59469696969697,0.681752327569827
