"","Accuracy.Accuracy","Precision.Pos Pred Value","Recall.Sensitivity","F1.Pos Pred Value","AUC"
"Gradient Boosting",0.796423658872077,0.769647696476965,0.818443804034582,0.793296089385475,0.860954800546033
"Random Forest",0.778541953232462,0.739690721649484,0.827089337175792,0.780952380952381,0.851054148339148
"AdaBoost",0.773039889958735,0.754189944134078,0.778097982708934,0.765957446808511,0.864750492947066
"SVM",0.745529573590096,0.713157894736842,0.780979827089337,0.745529573590096,0.812050659790687
"Neural Network",0.742778541953232,0.703045685279188,0.798270893371758,0.747638326585695,0.792226603973911
"Decision Tree",0.741403026134801,0.703324808184143,0.792507204610951,0.745257452574526,0.752813590171394
"Logistic Regression",0.715268225584594,0.675,0.778097982708934,0.72289156626506,0.727650538449871
"Naive Bayes",0.711141678129299,0.633528265107212,0.936599423631124,0.755813953488372,0.811807978158652
"KNN",0.624484181568088,0.619354838709677,0.553314121037464,0.584474885844749,0.662740785681784
