"","Accuracy.Accuracy","Precision.Pos Pred Value","Recall.Sensitivity","F1.Pos Pred Value","AUC"
"Gradient Boosting",0.767641996557659,0.738255033557047,0.794223826714801,0.765217391304348,0.82959457533726
"AdaBoost",0.76592082616179,0.74061433447099,0.783393501805054,0.76140350877193,0.826976059281779
"Random Forest",0.753872633390706,0.717532467532468,0.797833935018051,0.755555555555556,0.828792988789664
"Decision Tree",0.74526678141136,0.714285714285714,0.776173285198556,0.743944636678201,0.754512635379061
"SVM",0.721170395869191,0.688524590163934,0.75812274368231,0.721649484536082,0.794259452783584
"Neural Network",0.719449225473322,0.682692307692308,0.768953068592058,0.723259762308998,0.766482994489837
"Logistic Regression",0.707401032702238,0.672025723472669,0.754512635379061,0.710884353741497,0.714065171955158
"Naive Bayes",0.707401032702238,0.649859943977591,0.837545126353791,0.73186119873817,0.77624453733612
"KNN",0.648881239242685,0.637735849056604,0.610108303249097,0.623616236162362,0.724194850845525
