"","Accuracy.Accuracy","Precision.Pos Pred Value","Recall.Sensitivity","F1.Pos Pred Value","AUC"
"Gradient Boosting",0.757314974182444,0.725165562913907,0.790613718411552,0.756476683937824,0.82768858065742
"Random Forest",0.753872633390706,0.71474358974359,0.805054151624549,0.757215619694397,0.830194280828426
"Decision Tree",0.74526678141136,0.714285714285714,0.776173285198556,0.743944636678201,0.754512635379061
"AdaBoost",0.741824440619621,0.708196721311475,0.779783393501805,0.742268041237113,0.82801515295459
"Neural Network",0.728055077452668,0.690095846645367,0.779783393501805,0.732203389830508,0.77347757932738
"SVM",0.721170395869191,0.686084142394822,0.765342960288809,0.723549488054608,0.786837355120653
"Naive Bayes",0.709122203098107,0.649171270718232,0.848375451263538,0.735524256651017,0.771114383431504
"Logistic Regression",0.707401032702238,0.670926517571885,0.75812274368231,0.711864406779661,0.715632718981569
"KNN",0.61790017211704,0.611336032388664,0.545126353790614,0.576335877862595,0.625647206916207
