"","Accuracy.Accuracy","Precision.Pos Pred Value","Recall.Sensitivity","F1.Pos Pred Value","AUC"
"Gradient Boosting",0.783256880733945,0.759725400457666,0.798076923076923,0.778429073856975,0.854720183873144
"AdaBoost",0.777522935779816,0.752272727272727,0.795673076923077,0.773364485981308,0.853821377361674
"Random Forest",0.75802752293578,0.71948608137045,0.807692307692308,0.761041902604757,0.83858911099865
"Decision Tree",0.744266055045872,0.709327548806941,0.786057692307692,0.745724059293044,0.7549816548583
"Neural Network",0.728211009174312,0.690021231422505,0.78125,0.732807215332582,0.780654310053981
"SVM",0.723623853211009,0.692307692307692,0.757211538461538,0.723306544202067,0.799542425775978
"Logistic Regression",0.715596330275229,0.675732217573222,0.776442307692308,0.722595078299776,0.738112559041834
"Naive Bayes",0.708715596330275,0.643109540636042,0.875,0.741344195519348,0.805409708164642
"KNN",0.666284403669725,0.645687645687646,0.665865384615385,0.655621301775148,0.717102627361673
