"","Accuracy.Accuracy","Precision.Pos Pred Value","Recall.Sensitivity","F1.Pos Pred Value","AUC"
"AdaBoost",0.783256880733945,0.763341067285383,0.790865384615385,0.776859504132231,0.844954558873145
"Gradient Boosting",0.772935779816514,0.744394618834081,0.798076923076923,0.77030162412993,0.848597229251013
"Random Forest",0.761467889908257,0.720338983050847,0.817307692307692,0.765765765765766,0.838127846659919
"Decision Tree",0.744266055045872,0.709327548806941,0.786057692307692,0.745724059293044,0.7549816548583
"SVM",0.720183486238532,0.690265486725664,0.75,0.71889400921659,0.79278951585695
"Neural Network",0.716743119266055,0.673511293634497,0.788461538461538,0.726467331118494,0.770559210526316
"Logistic Regression",0.715596330275229,0.675732217573222,0.776442307692308,0.722595078299776,0.738091472672064
"Naive Bayes",0.704128440366973,0.636678200692042,0.884615384615385,0.740442655935614,0.798024207152495
"KNN",0.610091743119266,0.601063829787234,0.543269230769231,0.570707070707071,0.654025387989204
