"","Accuracy.Accuracy","Precision.Pos Pred Value","Recall.Sensitivity","F1.Pos Pred Value","AUC"
"Gradient Boosting",0.776376146788991,0.746102449888641,0.805288461538462,0.774566473988439,0.849604103407558
"AdaBoost",0.774082568807339,0.739606126914661,0.8125,0.774341351660939,0.839306047570851
"Random Forest",0.771788990825688,0.739514348785872,0.805288461538462,0.771001150747986,0.83033643302969
"Decision Tree",0.744266055045872,0.709327548806941,0.786057692307692,0.745724059293044,0.7549816548583
"Neural Network",0.735091743119266,0.698072805139186,0.783653846153846,0.738391845979615,0.797518134278002
"SVM",0.73394495412844,0.697424892703863,0.78125,0.736961451247165,0.794703103913631
"Logistic Regression",0.714449541284404,0.67287784679089,0.78125,0.723025583982202,0.736720858636978
"Naive Bayes",0.69954128440367,0.621835443037975,0.944711538461538,0.75,0.806247891363022
"KNN",0.69151376146789,0.664429530201342,0.713942307692308,0.688296639629201,0.739032451923077
