"","Accuracy.Accuracy","Precision.Pos Pred Value","Recall.Sensitivity","F1.Pos Pred Value","AUC"
"Gradient Boosting",0.958715596330275,0.946009389671362,0.96875,0.957244655581948,0.972197621457491
"Random Forest",0.954128440366973,0.94131455399061,0.963942307692308,0.95249406175772,0.977076480263159
"AdaBoost",0.947247706422018,0.94047619047619,0.949519230769231,0.944976076555024,0.973125421727395
"SVM",0.899082568807339,0.901960784313726,0.884615384615385,0.893203883495146,0.952998481781376
"Neural Network",0.889908256880734,0.886473429951691,0.882211538461538,0.88433734939759,0.946208670715247
"Logistic Regression",0.848623853211009,0.865979381443299,0.807692307692308,0.835820895522388,0.920256621120108
"Naive Bayes",0.823394495412844,0.731448763250883,0.995192307692308,0.843177189409369,0.964053011133603
"Decision Tree",0.751146788990826,0.720620842572062,0.78125,0.749711649365629,0.768110555836707
"KNN",0.642201834862385,0.652941176470588,0.533653846153846,0.587301587301587,0.684247427462888
