"","Accuracy.Accuracy","Precision.Pos Pred Value","Recall.Sensitivity","F1.Pos Pred Value","AUC"
"Gradient Boosting",0.953232462173315,0.935933147632312,0.968299711815562,0.951841359773371,0.974723191263462
"Random Forest",0.951856946354883,0.933333333333333,0.968299711815562,0.950495049504951,0.978439253753982
"AdaBoost",0.946354883081155,0.94,0.948126801152738,0.944045911047346,0.977809798270891
"SVM",0.887207702888583,0.871148459383753,0.896253602305475,0.883522727272727,0.952760503564386
"Neural Network",0.865199449793673,0.844875346260388,0.878962536023055,0.861581920903955,0.932329743667526
"Logistic Regression",0.851444291609354,0.856716417910448,0.827089337175792,0.841642228739003,0.91035947216745
"Naive Bayes",0.832187070151307,0.745098039215686,0.985590778097983,0.84863523573201,0.968322463218568
"Decision Tree",0.770288858321871,0.741935483870968,0.795389048991354,0.767732962447844,0.786121644168057
"KNN",0.708390646492435,0.736842105263158,0.605187319884726,0.664556962025316,0.770256332473836
