"","Accuracy.Accuracy","Precision.Pos Pred Value","Recall.Sensitivity","F1.Pos Pred Value","AUC"
"Random Forest",0.955249569707401,0.943462897526502,0.963898916967509,0.953571428571429,0.96735464563937
"AdaBoost",0.951807228915663,0.943060498220641,0.956678700361011,0.949820788530466,0.962283868516059
"Gradient Boosting",0.944922547332186,0.929824561403509,0.956678700361011,0.943060498220641,0.959564411932361
"SVM",0.889845094664372,0.908045977011494,0.855595667870036,0.881040892193308,0.950099752992593
"Neural Network",0.862306368330465,0.886274509803922,0.815884476534296,0.849624060150376,0.922875498764965
"Logistic Regression",0.848537005163511,0.876494023904382,0.794223826714801,0.833333333333333,0.919057571727154
"Naive Bayes",0.839931153184165,0.756983240223464,0.978339350180505,0.853543307086614,0.956274938248151
"Decision Tree",0.774526678141136,0.757042253521127,0.776173285198556,0.766488413547237,0.789616188485655
"KNN",0.647160068846816,0.683673469387755,0.483754512635379,0.566596194503171,0.682613290898727
