"","Accuracy.Accuracy","Precision.Pos Pred Value","Recall.Sensitivity","F1.Pos Pred Value","AUC"
"Random Forest",0.951807228915663,0.939929328621908,0.96028880866426,0.95,0.964748004940148
"Gradient Boosting",0.951807228915663,0.943060498220641,0.956678700361011,0.949820788530466,0.962105738172148
"AdaBoost",0.948364888123924,0.942652329749104,0.949458483754513,0.946043165467626,0.958650009500289
"Neural Network",0.905335628227194,0.911111111111111,0.888086642599278,0.89945155393053,0.952320444613341
"SVM",0.898450946643718,0.916030534351145,0.866425992779783,0.890538033395176,0.949862245867379
"Logistic Regression",0.85197934595525,0.877470355731225,0.8014440433213,0.837735849056604,0.92001947558427
"Naive Bayes",0.839931153184165,0.756983240223464,0.978339350180505,0.853543307086614,0.957699980999434
"Decision Tree",0.774526678141136,0.757042253521127,0.776173285198556,0.766488413547237,0.789616188485655
"KNN",0.72289156626506,0.784313725490196,0.577617328519856,0.665280665280665,0.793778500855026
