"","Accuracy.Accuracy","Precision.Pos Pred Value","Recall.Sensitivity","F1.Pos Pred Value","AUC"
"Random Forest",0.953528399311532,0.940140845070423,0.963898916967509,0.951871657754011,0.966238362150865
"Gradient Boosting",0.939759036144578,0.938405797101449,0.935018050541516,0.936708860759494,0.962948888466657
"AdaBoost",0.939759036144578,0.935251798561151,0.938628158844765,0.936936936936937,0.958626258787767
"Neural Network",0.907056798623064,0.896797153024911,0.909747292418773,0.903225806451613,0.949292228766867
"SVM",0.898450946643718,0.912878787878788,0.870036101083033,0.8909426987061,0.950266007980243
"Logistic Regression",0.85025817555938,0.876984126984127,0.797833935018051,0.835538752362949,0.920494489834697
"Naive Bayes",0.838209982788296,0.754874651810585,0.978339350180505,0.852201257861635,0.957925612768387
"KNN",0.78657487091222,0.807228915662651,0.725631768953069,0.76425855513308,0.861563034391032
"Decision Tree",0.774526678141136,0.757042253521127,0.776173285198556,0.766488413547237,0.789616188485655
