"SplitRatio","NumColumns","BestModel","BestAccuracy","BestAUC"
0.7,9,"Gradient Boosting",0.799311926605505,0.862938596491228
0.7,10,"Gradient Boosting",0.799311926605505,0.866077829790823
0.7,11,"Random Forest",0.793577981651376,0.843821166497976
0.7,12,"Random Forest",0.795871559633027,0.851873523954116
0.75,9,"Gradient Boosting",0.804676753782668,0.854402396481117
0.75,10,"Gradient Boosting",0.797799174690509,0.850401941453057
0.75,11,"Gradient Boosting",0.796423658872077,0.860302593659942
0.75,12,"AdaBoost",0.792297111416781,0.857731685120582
