"","Accuracy.Accuracy","Precision.Pos Pred Value","Recall.Sensitivity","F1.Pos Pred Value","AUC"
"Gradient Boosting",0.796423658872077,0.761154855643045,0.835734870317003,0.796703296703297,0.860302593659942
"AdaBoost",0.792297111416781,0.762032085561497,0.821325648414986,0.790568654646324,0.860260882754436
"Random Forest",0.770288858321871,0.713270142180095,0.867435158501441,0.782834850455137,0.838082056726831
"SVM",0.767537826685007,0.723618090452261,0.829971181556196,0.773154362416107,0.833691035947216
"Decision Tree",0.749656121045392,0.704714640198511,0.818443804034582,0.757333333333333,0.767829516153496
"Neural Network",0.745529573590096,0.699507389162562,0.818443804034582,0.754316069057105,0.787027908387684
"Naive Bayes",0.735900962861073,0.664543524416136,0.902017291066282,0.765281173594132,0.821018504474442
"Logistic Regression",0.713892709766162,0.662004662004662,0.818443804034582,0.731958762886598,0.745225997269833
"KNN",0.65474552957359,0.641176470588235,0.628242074927954,0.634643377001456,0.697975125132716
