"","Accuracy.Accuracy","Precision.Pos Pred Value","Recall.Sensitivity","F1.Pos Pred Value","AUC"
"Random Forest",0.793459552495697,0.760797342192691,0.826714801444043,0.792387543252595,0.82062274368231
"Gradient Boosting",0.781411359724613,0.755102040816327,0.8014440433213,0.777583187390543,0.834968174045222
"AdaBoost",0.781411359724613,0.767857142857143,0.776173285198556,0.771992818671454,0.843411552346571
"Neural Network",0.752151462994836,0.71947194719472,0.787003610108303,0.751724137931034,0.795672620178605
"SVM",0.746987951807229,0.71523178807947,0.779783393501805,0.746113989637306,0.810303059091773
"Decision Tree",0.74526678141136,0.714285714285714,0.776173285198556,0.743944636678201,0.754512635379061
"Naive Bayes",0.731497418244406,0.682779456193353,0.815884476534296,0.743421052631579,0.806930457913737
"Logistic Regression",0.707401032702238,0.665634674922601,0.776173285198556,0.716666666666667,0.726130533916018
"KNN",0.695352839931153,0.654320987654321,0.765342960288809,0.70549084858569,0.744151387041611
