"","Accuracy.Accuracy","Precision.Pos Pred Value","Recall.Sensitivity","F1.Pos Pred Value","AUC"
"Gradient Boosting",0.799311926605505,0.788968824940048,0.790865384615385,0.789915966386555,0.866077829790823
"AdaBoost",0.795871559633027,0.780660377358491,0.795673076923077,0.788095238095238,0.856820913461538
"Random Forest",0.783256880733945,0.743040685224839,0.834134615384615,0.785956964892412,0.837977606275303
"Neural Network",0.764908256880734,0.725910064239829,0.814903846153846,0.767836919592299,0.830325889844805
"SVM",0.752293577981651,0.717391304347826,0.793269230769231,0.753424657534246,0.811606465080972
"Decision Tree",0.744266055045872,0.709327548806941,0.786057692307692,0.745724059293044,0.7549816548583
"Naive Bayes",0.727064220183486,0.679435483870968,0.810096153846154,0.739035087719298,0.797784349696356
"Logistic Regression",0.706422018348624,0.661943319838057,0.786057692307692,0.718681318681319,0.733412934379217
"KNN",0.685779816513762,0.637596899224806,0.790865384615385,0.706008583690987,0.738183725539811
