"","Accuracy.Accuracy","Precision.Pos Pred Value","Recall.Sensitivity","F1.Pos Pred Value","AUC"
"AdaBoost",0.777969018932874,0.756944444444444,0.787003610108303,0.771681415929204,0.846772278168345
"Gradient Boosting",0.772805507745267,0.745762711864407,0.794223826714801,0.769230769230769,0.84720572867186
"Random Forest",0.771084337349398,0.72360248447205,0.84115523465704,0.7779632721202,0.830592105263157
"Decision Tree",0.74526678141136,0.714285714285714,0.776173285198556,0.743944636678201,0.754512635379061
"SVM",0.736660929432014,0.703947368421053,0.772563176895307,0.736660929432014,0.818117043511306
"Naive Bayes",0.721170395869191,0.667638483965015,0.826714801444043,0.738709677419355,0.794176325289759
"Neural Network",0.712564543889845,0.683333333333333,0.740072202166065,0.710571923743501,0.752101938058142
"Logistic Regression",0.703958691910499,0.662538699690402,0.772563176895307,0.713333333333333,0.721487269618089
"KNN",0.585197934595525,0.58411214953271,0.451263537906137,0.509164969450102,0.622915874976249
