"","Accuracy.Accuracy","Precision.Pos Pred Value","Recall.Sensitivity","F1.Pos Pred Value","AUC"
"Random Forest",0.793577981651376,0.748945147679325,0.853365384615385,0.797752808988764,0.843821166497976
"AdaBoost",0.793577981651376,0.776995305164319,0.795673076923077,0.786223277909739,0.85556891025641
"Gradient Boosting",0.786697247706422,0.756696428571429,0.814903846153846,0.784722222222222,0.858747680499325
"SVM",0.745412844036697,0.709051724137931,0.790865384615385,0.747727272727273,0.8167647182861
"Decision Tree",0.744266055045872,0.709327548806941,0.786057692307692,0.745724059293044,0.7549816548583
"Naive Bayes",0.727064220183486,0.679435483870968,0.810096153846154,0.739035087719298,0.791914431511471
"Neural Network",0.715596330275229,0.672839506172839,0.786057692307692,0.725055432372506,0.761839996626181
"Logistic Regression",0.706422018348624,0.661943319838057,0.786057692307692,0.718681318681319,0.733905828272604
"KNN",0.636467889908257,0.619277108433735,0.617788461538462,0.618531889290012,0.672547128036437
