"","Accuracy.Accuracy","Precision.Pos Pred Value","Recall.Sensitivity","F1.Pos Pred Value","AUC"
"Gradient Boosting",0.804676753782668,0.770448548812665,0.84149855907781,0.804407713498623,0.854402396481117
"AdaBoost",0.799174690508941,0.758354755784062,0.85014409221902,0.801630434782609,0.854576823904141
"Random Forest",0.773039889958735,0.721951219512195,0.853025936599424,0.782034346103038,0.821659335659032
"SVM",0.762035763411279,0.716417910447761,0.829971181556196,0.769025367156208,0.821602457151524
"Neural Network",0.762035763411279,0.715346534653465,0.832853025936599,0.769640479360852,0.816741240709844
"Decision Tree",0.749656121045392,0.704714640198511,0.818443804034582,0.757333333333333,0.767829516153496
"Naive Bayes",0.716643741403026,0.63531669865643,0.953890489913545,0.762672811059908,0.833668284544213
"Logistic Regression",0.713892709766162,0.662004662004662,0.818443804034582,0.731958762886598,0.741654026998331
"KNN",0.707015130674003,0.653669724770642,0.821325648414986,0.727969348659004,0.749632185651449
