"","Accuracy.Accuracy","Precision.Pos Pred Value","Recall.Sensitivity","F1.Pos Pred Value","AUC"
"Random Forest",0.796423658872077,0.746898263027295,0.867435158501441,0.802666666666667,0.857807523130593
"Gradient Boosting",0.785419532324622,0.760217983651226,0.804034582132565,0.781512605042017,0.838317154557864
"AdaBoost",0.77716643741403,0.753424657534247,0.792507204610951,0.772471910112359,0.834331867131806
"SVM",0.756533700137552,0.723684210526316,0.792507204610951,0.756533700137552,0.812983467313817
"Decision Tree",0.741403026134801,0.703324808184143,0.792507204610951,0.745257452574526,0.752813590171394
"Neural Network",0.708390646492435,0.683923705722071,0.723342939481268,0.703081232492997,0.737130289701199
"Logistic Regression",0.705639614855571,0.665835411471322,0.769452449567723,0.713903743315508,0.71543303503716
"KNN",0.580467675378267,0.579545454545455,0.440922190201729,0.500818330605565,0.600375398149552
"Naive Bayes",0.570839064649243,0.64957264957265,0.219020172910663,0.327586206896552,0.75156984680722
