"","Accuracy.Accuracy","Precision.Pos Pred Value","Recall.Sensitivity","F1.Pos Pred Value","AUC"
"Random Forest",0.958691910499139,0.937716262975778,0.978339350180505,0.957597173144876,0.971433830514916
"Gradient Boosting",0.948364888123924,0.933333333333333,0.96028880866426,0.94661921708185,0.972757932737983
"AdaBoost",0.948364888123924,0.933333333333333,0.96028880866426,0.94661921708185,0.974657989739693
"Neural Network",0.900172117039587,0.88421052631579,0.909747292418773,0.896797153024911,0.951204161124837
"SVM",0.889845094664372,0.884476534296029,0.884476534296029,0.884476534296029,0.946169010070306
"Naive Bayes",0.874354561101549,0.895348837209302,0.833935018050541,0.863551401869159,0.951014155424666
"Logistic Regression",0.833046471600688,0.821428571428571,0.830324909747292,0.825852782764812,0.914449933498009
"KNN",0.810671256454389,0.808118081180812,0.790613718411552,0.799270072992701,0.892878348850466
"Decision Tree",0.767641996557659,0.735099337748344,0.8014440433213,0.766839378238342,0.785614193425803
