"","Accuracy.Accuracy","Precision.Pos Pred Value","Recall.Sensitivity","F1.Pos Pred Value","AUC"
"Random Forest",0.958691910499139,0.940766550522648,0.974729241877256,0.957446808510638,0.96823935968079
"AdaBoost",0.943201376936317,0.935714285714286,0.945848375451264,0.940754039497307,0.96836405092153
"Gradient Boosting",0.941480206540448,0.932384341637011,0.945848375451264,0.939068100358423,0.972413547406423
"Naive Bayes",0.908777969018933,0.856687898089172,0.971119133574007,0.910321489001692,0.960918202546079
"SVM",0.895008605851979,0.891304347826087,0.888086642599278,0.889692585895117,0.95142979289379
"Neural Network",0.862306368330465,0.868913857677903,0.837545126353791,0.852941176470588,0.922062036861109
"KNN",0.845094664371773,0.823529411764706,0.859205776173285,0.840989399293286,0.906754702641079
"Logistic Regression",0.839931153184165,0.830935251798561,0.833935018050541,0.832432432432432,0.91396304389132
"Decision Tree",0.767641996557659,0.735099337748344,0.8014440433213,0.766839378238342,0.785614193425803
