"","Accuracy.Accuracy","Precision.Pos Pred Value","Recall.Sensitivity","F1.Pos Pred Value","AUC"
"Random Forest",0.956422018348624,0.945754716981132,0.963942307692308,0.954761904761905,0.974158653846154
"AdaBoost",0.94954128440367,0.938679245283019,0.956730769230769,0.947619047619048,0.972134362348177
"Gradient Boosting",0.947247706422018,0.936320754716981,0.954326923076923,0.945238095238095,0.970726847165993
"SVM",0.901376146788991,0.908415841584158,0.882211538461538,0.895121951219512,0.957452977395414
"Neural Network",0.900229357798165,0.896385542168675,0.894230769230769,0.895306859205776,0.950510290148447
"Logistic Regression",0.838302752293578,0.855297157622739,0.795673076923077,0.824408468244085,0.921110619095815
"KNN",0.833715596330275,0.823389021479714,0.829326923076923,0.826347305389222,0.90266268134278
"Naive Bayes",0.782110091743119,0.884353741496599,0.625,0.732394366197183,0.927968960863697
"Decision Tree",0.751146788990826,0.720620842572062,0.78125,0.749711649365629,0.768110555836707
