"","Accuracy.Accuracy","Precision.Pos Pred Value","Recall.Sensitivity","F1.Pos Pred Value","AUC"
"Random Forest",0.958734525447043,0.954154727793696,0.959654178674352,0.956896551724138,0.980665099347794
"Gradient Boosting",0.949105914718019,0.950581395348837,0.942363112391931,0.946454413892909,0.978067647504932
"AdaBoost",0.947730398899587,0.95307917888563,0.936599423631124,0.944767441860465,0.976247535264675
"SVM",0.894085281980743,0.919254658385093,0.853025936599424,0.884902840059791,0.95222963749431
"Neural Network",0.866574965612105,0.876506024096386,0.838616714697406,0.857142857142857,0.944880934324285
"Logistic Regression",0.836313617606602,0.851851851851852,0.795389048991354,0.822652757078987,0.906605490671927
"KNN",0.821182943603851,0.829787234042553,0.786743515850144,0.807692307692308,0.908444562414682
"Decision Tree",0.774415405777166,0.747967479674797,0.795389048991354,0.770949720670391,0.789477476111027
"Naive Bayes",0.773039889958735,0.925233644859813,0.570605187319885,0.705882352941177,0.945229789170333
