"","Accuracy.Accuracy","Precision.Pos Pred Value","Recall.Sensitivity","F1.Pos Pred Value","AUC"
"Random Forest",0.957359009628611,0.951428571428571,0.959654178674352,0.955523672883788,0.979341726073107
"AdaBoost",0.946354883081155,0.955621301775148,0.930835734870317,0.943065693430657,0.978469588957985
"Gradient Boosting",0.940852819807428,0.944444444444444,0.930835734870317,0.937590711175617,0.975777339602608
"Naive Bayes",0.916093535075653,0.868556701030928,0.971181556195965,0.917006802721089,0.968929167298655
"Neural Network",0.914718019257221,0.922848664688427,0.896253602305475,0.909356725146199,0.957242529956011
"SVM",0.896836313617607,0.922360248447205,0.855907780979827,0.887892376681614,0.956006370392841
"Logistic Regression",0.844566712517194,0.861111111111111,0.804034582132565,0.831594634873323,0.906620658273928
"KNN",0.843191196698762,0.822714681440443,0.855907780979827,0.838983050847458,0.908596238434703
"Decision Tree",0.774415405777166,0.747967479674797,0.795389048991354,0.770949720670391,0.789477476111027
