"","Accuracy.Accuracy","Precision.Pos Pred Value","Recall.Sensitivity","F1.Pos Pred Value","AUC"
"Random Forest",0.960110041265475,0.954285714285714,0.962536023054755,0.958393113342898,0.978723646291521
"AdaBoost",0.954607977991747,0.956395348837209,0.948126801152738,0.952243125904486,0.977468527225842
"Gradient Boosting",0.94222833562586,0.944606413994169,0.93371757925072,0.939130434782609,0.977953890489911
"Neural Network",0.900962861072902,0.920489296636086,0.867435158501441,0.893175074183976,0.954717124222657
"SVM",0.887207702888583,0.910216718266254,0.847262247838617,0.877611940298507,0.954428939784621
"Logistic Regression",0.837689133425034,0.852307692307692,0.798270893371758,0.824404761904762,0.90677233429395
"KNN",0.834938101788171,0.828985507246377,0.824207492795389,0.826589595375723,0.90892992567875
"Decision Tree",0.774415405777166,0.747967479674797,0.795389048991354,0.770949720670391,0.789477476111027
"Naive Bayes",0.766162310866575,0.915492957746479,0.561959654178674,0.696428571428571,0.946678295161536
