"","Accuracy.Accuracy","Precision.Pos Pred Value","Recall.Sensitivity","F1.Pos Pred Value","AUC"
"Random Forest",0.955275229357798,0.941451990632318,0.966346153846154,0.95373665480427,0.970405280026991
"AdaBoost",0.952981651376147,0.939110070257611,0.963942307692308,0.951364175563464,0.969643534919028
"Gradient Boosting",0.950688073394495,0.940898345153664,0.956730769230769,0.948748510131109,0.968317729419702
"SVM",0.911697247706422,0.912408759124088,0.901442307692308,0.90689238210399,0.961686066126858
"Neural Network",0.908256880733945,0.913793103448276,0.891826923076923,0.902676399026764,0.95768492746289
"Naive Bayes",0.903669724770642,0.847280334728034,0.973557692307692,0.906040268456376,0.959872638326584
"Logistic Regression",0.844036697247706,0.862694300518135,0.800480769230769,0.830423940149626,0.921848642037786
"KNN",0.827981651376147,0.799549549549549,0.853365384615385,0.825581395348837,0.899504997469636
"Decision Tree",0.751146788990826,0.720620842572062,0.78125,0.749711649365629,0.768110555836707
