"","Accuracy.Accuracy","Precision.Pos Pred Value","Recall.Sensitivity","F1.Pos Pred Value","AUC"
"Random Forest",0.955249569707401,0.934256055363322,0.974729241877256,0.954063604240283,0.969973161694851
"Gradient Boosting",0.946643717728055,0.939285714285714,0.949458483754513,0.944344703770198,0.972740119703592
"AdaBoost",0.941480206540448,0.932384341637011,0.945848375451264,0.939068100358423,0.974355168155045
"SVM",0.901893287435456,0.898550724637681,0.895306859205776,0.896925858951175,0.951904807144218
"Neural Network",0.900172117039587,0.901098901098901,0.888086642599278,0.894545454545455,0.956073057191719
"Naive Bayes",0.85197934595525,0.91703056768559,0.75812274368231,0.8300395256917,0.951453543606312
"Logistic Regression",0.834767641996558,0.826714801444043,0.826714801444043,0.826714801444043,0.913903667110016
"KNN",0.827882960413081,0.814946619217082,0.826714801444043,0.82078853046595,0.90658844765343
"Decision Tree",0.767641996557659,0.735099337748344,0.8014440433213,0.766839378238342,0.785614193425803
