"","Accuracy.Accuracy","Precision.Pos Pred Value","Recall.Sensitivity","F1.Pos Pred Value","AUC"
"Random Forest",0.954128440366973,0.939252336448598,0.966346153846154,0.95260663507109,0.970566063596491
"Gradient Boosting",0.954128440366973,0.943396226415094,0.961538461538462,0.952380952380952,0.968141131072875
"AdaBoost",0.939220183486238,0.943765281173594,0.927884615384615,0.935757575757576,0.966512209008099
"SVM",0.908256880733945,0.909756097560976,0.896634615384615,0.903147699757869,0.959672317813768
"Neural Network",0.908256880733945,0.898104265402844,0.911057692307692,0.904534606205251,0.961095647773277
"KNN",0.838302752293578,0.823529411764706,0.841346153846154,0.832342449464923,0.907992261302294
"Logistic Regression",0.833715596330275,0.848329048843188,0.793269230769231,0.819875776397516,0.921237137314439
"Naive Bayes",0.751146788990826,0.878326996197719,0.555288461538462,0.680412371134021,0.926529816126855
"Decision Tree",0.751146788990826,0.720620842572062,0.78125,0.749711649365629,0.768110555836707
