"","Accuracy.Accuracy","Precision.Pos Pred Value","Recall.Sensitivity","F1.Pos Pred Value","AUC"
"Gradient Boosting",0.954607977991747,0.948571428571429,0.956772334293948,0.952654232424677,0.979296223267101
"AdaBoost",0.946354883081155,0.945086705202312,0.942363112391931,0.943722943722944,0.971621416654026
"Random Forest",0.94222833562586,0.915531335149864,0.968299711815562,0.941176470588235,0.980991202790839
"SVM",0.878954607977992,0.882005899705015,0.861671469740634,0.871720116618076,0.948581829212803
"Neural Network",0.829436038514443,0.834834834834835,0.801152737752161,0.817647058823529,0.907098437736993
"Logistic Regression",0.823933975240715,0.828828828828829,0.795389048991354,0.811764705882353,0.910495980585469
"Decision Tree",0.759284731774415,0.728723404255319,0.789625360230548,0.757952973720609,0.780448961019263
"Naive Bayes",0.753782668500688,0.875,0.564841498559078,0.686514886164624,0.921325648414984
"KNN",0.645116918844567,0.678714859437751,0.487031700288184,0.567114093959732,0.693591688154103
