"","Accuracy.Accuracy","Precision.Pos Pred Value","Recall.Sensitivity","F1.Pos Pred Value","AUC"
"Gradient Boosting",0.951834862385321,0.938967136150235,0.961538461538462,0.950118764845606,0.973067434210525
"AdaBoost",0.94954128440367,0.936619718309859,0.959134615384615,0.947743467933492,0.971143302968963
"Random Forest",0.940366972477064,0.913636363636363,0.966346153846154,0.939252336448598,0.978030638495278
"SVM",0.888761467889908,0.895781637717122,0.867788461538462,0.881562881562882,0.951084893724699
"Logistic Regression",0.845183486238532,0.855696202531646,0.8125,0.833538840937115,0.917383603238867
"Decision Tree",0.751146788990826,0.720620842572062,0.78125,0.749711649365629,0.768110555836707
"Naive Bayes",0.713302752293578,0.857758620689655,0.478365384615385,0.614197530864198,0.911078778677462
"KNN",0.64105504587156,0.676975945017182,0.473557692307692,0.557284299858557,0.694830149291498
"Neural Network",0.522935779816514,NA,0,NA,0.5
