"Dataset","Model","Accuracy","Precision","Recall","F1_Score"
"RFE","Logistic Regression",0.831325301204819,0.848249027237354,0.787003610108303,0.816479400749064
"RFE","Random Forest",0.950086058519793,0.936619718309859,0.96028880866426,0.948306595365419
"RFE","XGBoost",0.948364888123924,0.936395759717314,0.956678700361011,0.946428571428571
"Lasso","Logistic Regression",0.826161790017212,0.84375,0.779783393501805,0.810506566604128
"Lasso","Random Forest",0.950086058519793,0.933566433566434,0.963898916967509,0.948490230905861
"Lasso","XGBoost",0.946643717728055,0.933098591549296,0.956678700361011,0.944741532976827
"Random Forest","Logistic Regression",0.843373493975904,0.86046511627907,0.8014440433213,0.829906542056075
"Random Forest","Random Forest",0.946643717728055,0.933098591549296,0.956678700361011,0.944741532976827
"Random Forest","XGBoost",0.950086058519793,0.936619718309859,0.96028880866426,0.948306595365419
